line_number,speaker,text,label,file_name
76,SANDERS,"Every major country on earth, whether it's the U.K., whether it's France, whether it's Canada, has managed to provide healthcare to all people as a right and they are spending significantly less per capita on health care than we are.",0,20160209_msnbc_dem.tsv
77,SANDERS,So I do not accept the belief that the United States of America can't do that.,0,20160209_msnbc_dem.tsv
78,SANDERS,I do not accept the belief that the United States of America and our government can't stand up to the ripoffs of the pharmaceutical industry which charge us by far the highest prices in the world for prescription drugs.,0,20160209_msnbc_dem.tsv
79,SANDERS,"Number two, in the economy today, everybody understands that we need a well educated workforce.",0,20160209_msnbc_dem.tsv
80,SANDERS,This is 2016.,0,20160209_msnbc_dem.tsv
81,SANDERS,"When we talk about public education, it can no longer be K through 12th grade.",0,20160209_msnbc_dem.tsv
82,SANDERS,I do believe that public colleges and universities should be tuition free.,0,20160209_msnbc_dem.tsv
83,SANDERS,"Well, how do we pay for that?",0,20160209_msnbc_dem.tsv
84,SANDERS,It's an expensive proposition.,0,20160209_msnbc_dem.tsv
85,SANDERS,"I do believe that we should substantially lower student debt in this country, which is crushing millions of people.",0,20160209_msnbc_dem.tsv
86,SANDERS,"We pay for it, in my view, by a tax on Wall Street speculation.",0,20160209_msnbc_dem.tsv
87,SANDERS,The middle class bailed out Wall Street in their time of need.,0,20160209_msnbc_dem.tsv
88,SANDERS,"Now, it is Wall Street's time to help the middle class.",0,20160209_msnbc_dem.tsv
89,SYSTEM,(APPLAUSE),0,20160209_msnbc_dem.tsv
90,CLINTON,If I could just follow up on that.,0,20160209_msnbc_dem.tsv
91,SYSTEM,(APPLAUSE),0,20160209_msnbc_dem.tsv
92,CLINTON,"There is no disagreement between us on universal coverage for health care, the disagreement is where do we start from and where do we end up.",0,20160209_msnbc_dem.tsv
93,CLINTON,"The Republicans want to repeal the Affordable Care Act, I want to improve it.",0,20160209_msnbc_dem.tsv
94,CLINTON,"I want to build on it, get the costs down, get prescription drug costs down.",0,20160209_msnbc_dem.tsv
95,CLINTON,Senator Sanders wants us to start all over again.,0,20160209_msnbc_dem.tsv
96,CLINTON,"This was a major achievement of President Obama, of our country.",0,20160209_msnbc_dem.tsv
97,CLINTON,It is helping people right now.,0,20160209_msnbc_dem.tsv
98,CLINTON,I am not going to wait and have us plunge back into a contentious national debate that has very little chance of succeeding.,0,20160209_msnbc_dem.tsv
99,CLINTON,Let's make the Affordable Care Act work for everybody.,0,20160209_msnbc_dem.tsv
100,SYSTEM,(APPLAUSE),0,20160209_msnbc_dem.tsv
101,SANDERS,Let me...,0,20160209_msnbc_dem.tsv
102,TODD,Go.,0,20160209_msnbc_dem.tsv
103,SANDERS,... this is a good discussion here.,0,20160209_msnbc_dem.tsv
104,TODD,"Yes, go ahead.",0,20160209_msnbc_dem.tsv
105,SANDERS,And let me just say this.,0,20160209_msnbc_dem.tsv
106,SANDERS,"As Secretary Clinton may know, I am on the Health Education Labor Committee.",0,20160209_msnbc_dem.tsv
107,SANDERS,That committee wrote the Affordable Care Act.,0,20160209_msnbc_dem.tsv
108,SANDERS,The idea I would dismantle health care in America while we're waiting to pass a Medicare for all is just not accurate.,0,20160209_msnbc_dem.tsv
109,SANDERS,"The Affordable Care Act has clearly, as Secretary Clinton made the point, done a lot of good things, but, what it has not done is dealt with the fact we have 29 million people today who have zero health insurance, we have even more who are underinsured with large deductibles and copayments and prescription drug prices are off the wall.",0,20160209_msnbc_dem.tsv
110,SANDERS,"So I do believe that in the future, not by dismantling what we have here -- I helped write that bill -- but by moving forward, rallying the American people, I do believe we should have health care for all.",0,20160209_msnbc_dem.tsv
111,SYSTEM,(APPLAUSE),0,20160209_msnbc_dem.tsv
112,TODD,"All right, thank you both.",0,20160209_msnbc_dem.tsv
113,TODD,Rachel.,0,20160209_msnbc_dem.tsv
114,MADDOW,"Secretary Clinton, Senator Sanders is campaigning against you now, at this point in the campaign, basically arguing that you are not progressive enough to be the Democratic nominee.",0,20160209_msnbc_dem.tsv
115,MADDOW,"He has said that if you voted for the Iraq war, if you are in favor of the death penalty, if you wobbled on things like the Keystone Pipeline or TPP, if you said single payer health care could never happen, then you're too far to the right of the Democratic Party to be the party's standard bearer.",0,20160209_msnbc_dem.tsv
116,MADDOW,"Given those policy positions, why should liberal Democrats support you and not Senator Sanders?",0,20160209_msnbc_dem.tsv
117,CLINTON,Well because I am a progressive who gets things done.,0,20160209_msnbc_dem.tsv
118,CLINTON,"And the root of that word, progressive, is progress.",0,20160209_msnbc_dem.tsv
119,CLINTON,"But I've heard Senator Sanders comments, and it's really caused me to wonder who's left in the progressive wing of the Democratic Party.",0,20160209_msnbc_dem.tsv
120,CLINTON,"Under his definition, President Obama is not progressive because he took donations from Wall Street; Vice President Biden is not progressive because she supported Keystone; Senator Shaheen is not progressive because she supports the trade pact.",0,20160209_msnbc_dem.tsv
121,CLINTON,"Even the late, great Senator Paul Wellstone would not fit this definition because he voted for DOMA.",0,20160209_msnbc_dem.tsv
122,CLINTON,"You know, we have differences and, honestly, I think we should be talk about what we want to do for the country.",0,20160209_msnbc_dem.tsv
123,CLINTON,"But if we're going to get into labels, I don't think it was particularly progressive to vote against the Brady Bill five times.",0,20160209_msnbc_dem.tsv
124,SYSTEM,(APPLAUSE),0,20160209_msnbc_dem.tsv
125,CLINTON,I don't think it was progressive to vote to give gun makers and sellers immunity.,0,20160209_msnbc_dem.tsv
126,CLINTON,I don't think it was progressive to vote against Ted Kennedy's immigration reform.,0,20160209_msnbc_dem.tsv
127,CLINTON,"So we could go back and forth like this, but the fact is most people watching tonight want to know what we've done and what we will do.",0,20160209_msnbc_dem.tsv
128,CLINTON,"That's why I am laying out a specific agenda that will make more progress, get more jobs with rising incomes, get us to universal health care coverage, get us to universal pre-k, paid family leave and the other elements of what I think will build a strong economy, that will ensure Americans keep making progress.",0,20160209_msnbc_dem.tsv
129,CLINTON,That's what I'm offering and that's what I will do as president.,0,20160209_msnbc_dem.tsv
130,SYSTEM,(APPLAUSE),0,20160209_msnbc_dem.tsv
131,MADDOW,"Senator Sanders, have you established a list of what it means to be a progressive that is unrealistic?",0,20160209_msnbc_dem.tsv
132,SANDERS,"No, not at all.",0,20160209_msnbc_dem.tsv
133,SANDERS,Here's the reality of American economic life today.,0,20160209_msnbc_dem.tsv
134,SANDERS,The reality is that we have one of lowest voter turnouts of any major country on earth because so many people have given up on the political process.,0,20160209_msnbc_dem.tsv
135,SANDERS,The reality is that there has been trillions of dollars of wealth going from the middle class in the last 30 years to the top 1/10th of 1 percent.,1,20160209_msnbc_dem.tsv
136,SANDERS,The reality is we that have a corrupt campaign finance system which separates the American people's needs and desires from what Congress is doing.,0,20160209_msnbc_dem.tsv
137,SANDERS,"So to my mind, what we have got to do is wage a political revolution where millions of people have given up on the political process, stand up and fight back, demand the government that represents us and not just a handful of campaign contribution -- contributors.",0,20160209_msnbc_dem.tsv
138,SANDERS,"Now all of the ideas that I'm talking about, they are not radical ideas.",0,20160209_msnbc_dem.tsv
139,SANDERS,"Making public colleges and universities tuition free, that exists in countries all over the world, used to exist in the United States.",0,20160209_msnbc_dem.tsv
140,SANDERS,"Rebuilding our crumbling infrastructure, and creating 13 million jobs by doing away with tax loopholes that large corporations now enjoy by putting their money into the Cayman Islands and other tax havens.",0,20160209_msnbc_dem.tsv
141,SANDERS,That is not a radical idea.,0,20160209_msnbc_dem.tsv
142,SANDERS,"What we need to do is to stand up to the big money interests, and the campaign contributors.",0,20160209_msnbc_dem.tsv
143,SANDERS,"When we do that, we can, in fact, transform America.",0,20160209_msnbc_dem.tsv
144,MADDOW,Thank you Senator.,0,20160209_msnbc_dem.tsv
145,SYSTEM,(APPLAUSE),0,20160209_msnbc_dem.tsv
146,TODD,"I'd like to follow up on a comment that Secretary Clinton said, Senator.",0,20160209_msnbc_dem.tsv
147,TODD,President Obama has not called for abolishing the death penalty.,0,20160209_msnbc_dem.tsv
148,TODD,"President Obama is for the big Asian trade deal known as TPP, and just yesterday you said you can't be both a moderate or a progressive, but you can't be both.",0,20160209_msnbc_dem.tsv
149,TODD,"Is President Obama, in your judgment, based on these policies positions, a progressive?",0,20160209_msnbc_dem.tsv
150,SANDERS,Let me just pick up on this point.,0,20160209_msnbc_dem.tsv
151,SANDERS,"This whole discussion began because I commented, not making overall evaluation about the Secretary.",0,20160209_msnbc_dem.tsv
152,SANDERS,"She was in Ohio, I think, in September or November and she got up and said something like, I have been -- I'm paraphrasing, I have been criticized because people think I'm a moderate.",0,20160209_msnbc_dem.tsv
153,SANDERS,"Well, I am a moderate.",0,20160209_msnbc_dem.tsv
154,SANDERS,That's where this came from.,0,20160209_msnbc_dem.tsv
155,SANDERS,It wasn't me paraphrasing her.,0,20160209_msnbc_dem.tsv
156,SANDERS,"It is what she said, and all that I said was there's nothing wrong with being a moderate.",0,20160209_msnbc_dem.tsv
157,SANDERS,"But, you can't be a moderate, you can't a progressive.",0,20160209_msnbc_dem.tsv
158,SANDERS,"In terms of President Obama, I think if we remember where this country was seven years ago, 800,000 jobs being lost every month, $1.4 trillion dollar deficit.",0,20160209_msnbc_dem.tsv
159,SANDERS,The world's financial system on the verge of collapse.,0,20160209_msnbc_dem.tsv
160,SANDERS,"I think that President Obama, Vice President Biden, and the Democratic leadership in the House and the Senate have done a fantastic job.",0,20160209_msnbc_dem.tsv
161,SANDERS,"We are in much better shape than we were seven years ago, although my Republican colleagues seem to have forgotten where we were seven years ago.",0,20160209_msnbc_dem.tsv
162,SANDERS,"That's the fact, but, we still have a very long way to go.",0,20160209_msnbc_dem.tsv
163,SANDERS,Do I think President Obama is a progressive?,0,20160209_msnbc_dem.tsv
164,SANDERS,"Yes, I do.",0,20160209_msnbc_dem.tsv
165,SANDERS,I disagree with him on a number of issues including the trade agreement.,0,20160209_msnbc_dem.tsv
166,SANDERS,"But, yes, I think he has done an excellent job.",0,20160209_msnbc_dem.tsv
167,CLINTON,"Well, Chuck...",0,20160209_msnbc_dem.tsv
168,TODD,"... (inaudible) Clinton, go ahead...",0,20160209_msnbc_dem.tsv
169,CLINTON,"If I could, you know, in the very first debate I was asked am I a moderate or a progressive and I said I'm a progressive who likes to get things done.",0,20160209_msnbc_dem.tsv
170,CLINTON,"Cherry picking a quote here or there doesn't change my record of having fought for racial justice, having fought for kids rights, having fought the kind of inequities that fueled my interest in service in the first place going back to my days in the Children's Defense Fund.",0,20160209_msnbc_dem.tsv
171,CLINTON,It certainly didn't stop me from taking on the drug companies and the insurance companies.,0,20160209_msnbc_dem.tsv
172,CLINTON,"Before it was called Hillarycare -- I mean, before it was called ObamaCare it was called Hillarycare because we took them on, and we weren't successful, but we kept fighting and we got the children's health insurance program.",0,20160209_msnbc_dem.tsv
173,CLINTON,"Every step along the way I have stood up, and fought, and have the scars to prove it.",0,20160209_msnbc_dem.tsv
174,CLINTON,"So, again...",0,20160209_msnbc_dem.tsv
175,SYSTEM,(APPLAUSE),0,20160209_msnbc_dem.tsv
176,CLINTON,"I think it's important that, look, I understand Senator Sanders really trying to distinguish himself.",0,20160209_msnbc_dem.tsv
177,CLINTON,"I understand that, that's what you do in campaigns, but at the same time let's not be -- in, I think an unfair way, making an accusation, or making an attack about where I stand and about where I've always stood.",0,20160209_msnbc_dem.tsv
178,CLINTON,"It is fair to say, Senator, that in your definition, as you being the self-proclaimed gatekeeper for progressivism, I don't know anyone else who fits that definition, but I know a lot of really hard fighting progressives in the Democratic party who have stood up time, and time again against special interests, against the powerful on behalf of those who are left behind and left out.",0,20160209_msnbc_dem.tsv
179,CLINTON,"And, that's what we ought to be celebrating.",0,20160209_msnbc_dem.tsv
180,CLINTON,"Let's talk about what we would do as President, and Commander in Chief to make sure the progress continues into the future.",0,20160209_msnbc_dem.tsv
181,SYSTEM,(APPLAUSE),0,20160209_msnbc_dem.tsv
182,TODD,"(inaudible) 30 seconds, and then we'll move.",0,20160209_msnbc_dem.tsv
183,SANDERS,"That's right, I mean, instead of arguing about definitions, let's talk about...",0,20160209_msnbc_dem.tsv
184,CLINTON,"... Well, you began it yesterday with your comments...",0,20160209_msnbc_dem.tsv
185,SANDERS,"... What we should do, and one of the things we should do is not only talk the talk, but walk the walk.",0,20160209_msnbc_dem.tsv
186,SANDERS,"I am very proud to be the only candidate up here who does not have a Super PAC, who's not raising huge sums of money from Wall Street...",0,20160209_msnbc_dem.tsv
187,SYSTEM,(APPLAUSE),0,20160209_msnbc_dem.tsv
188,SANDERS,... And special interests.,0,20160209_msnbc_dem.tsv
189,SANDERS,I am enormously proud.,0,20160209_msnbc_dem.tsv
190,SANDERS,"Never believed it would happen that we have raised 3.5 million individual contributions, averaging $27 dollars a piece.",0,20160209_msnbc_dem.tsv
191,SANDERS,That is what the political revolution means.,0,20160209_msnbc_dem.tsv
192,SYSTEM,(APPLAUSE),0,20160209_msnbc_dem.tsv
193,TODD,Thank you.,0,20160209_msnbc_dem.tsv
194,MADDOW,"Senator Sanders, as a Vermonter, you have almost a home state advantage here in New Hampshire.",0,20160209_msnbc_dem.tsv
195,MADDOW,"But back home across the border, you also have a long history of running against Democrats as a third-party candidate, for governor, Senate, for Congress.",0,20160209_msnbc_dem.tsv
196,MADDOW,In 1988 your candidacy as a third-party candidate arguably cost the Democrats a congressional seat and sent a Republican instead.,0,20160209_msnbc_dem.tsv
197,MADDOW,How can you lead the Democratic Party nationally when you have not been a member of the Democratic Party until very recently?,0,20160209_msnbc_dem.tsv
198,SANDERS,"Well, Rachel, actually, that wasn't accurate.",0,20160209_msnbc_dem.tsv
199,SANDERS,"In 1988 the Republican did win, I believe, by 3 points.",0,20160209_msnbc_dem.tsv
200,SANDERS,I came in second.,0,20160209_msnbc_dem.tsv
201,SANDERS,"It was 34-31, I think, 19 for the Democrat.",0,20160209_msnbc_dem.tsv
202,SANDERS,"In that race the Democrat was the spoiler, not me.",0,20160209_msnbc_dem.tsv
203,SANDERS,And it is true...,0,20160209_msnbc_dem.tsv
204,SYSTEM,(LAUGHTER),0,20160209_msnbc_dem.tsv
205,SYSTEM,(APPLAUSE),0,20160209_msnbc_dem.tsv
206,SANDERS,"It is true, it's not to be denied, I am the longest- serving independent in the history of the United States Congress.",0,20160209_msnbc_dem.tsv
207,SANDERS,People of Vermont sent me to Washington as an independent.,0,20160209_msnbc_dem.tsv
208,SANDERS,That is true.,0,20160209_msnbc_dem.tsv
209,SANDERS,"But on the other hand, I have -- when I was in the House for 16 years, I caucused with the Democrats.",0,20160209_msnbc_dem.tsv
210,SANDERS,"In the Senate for nine years caucused with the Democrats, of course.",0,20160209_msnbc_dem.tsv
211,SANDERS,"And I was elected by the Democrats to be chair of the Veterans Committee three years ago, which I'm very proud of.",0,20160209_msnbc_dem.tsv
212,SANDERS,"And now am the rankings member on the Budget Committee, leader of the Democrats in opposition to the majority Republicans.",0,20160209_msnbc_dem.tsv
213,SANDERS,I am running for president as a Democrat.,0,20160209_msnbc_dem.tsv
214,SANDERS,"And if elected, not only do I hope to bring forth a major change in national priorities, but let me be frank, I do want to see major changes in the Democratic Party.",0,20160209_msnbc_dem.tsv
215,SANDERS,I want to see working people and young people come into the party in a way that doesn't exist now.,0,20160209_msnbc_dem.tsv
216,SANDERS,"And you know what, I want a 50-state strategy so the Democratic Party is not just the party of 25 states.",0,20160209_msnbc_dem.tsv
217,SYSTEM,(APPLAUSE),0,20160209_msnbc_dem.tsv
218,MADDOW,Secretary Clinton.,0,20160209_msnbc_dem.tsv
219,CLINTON,"You know, the person who first put out the idea of a 50-state party strategy is former Governor Howard Dean, who is with us tonight.",0,20160209_msnbc_dem.tsv
220,SYSTEM,(APPLAUSE),0,20160209_msnbc_dem.tsv
221,CLINTON,And I'm very proud and grateful to have the support of so many elected Vermonters and former officials.,0,20160209_msnbc_dem.tsv
222,CLINTON,"Two former governors, the current governor, the current other senator.",0,20160209_msnbc_dem.tsv
223,CLINTON,I really appreciate that.,0,20160209_msnbc_dem.tsv
224,CLINTON,"And I think it's because they've worked with me, they've seen what I do.",0,20160209_msnbc_dem.tsv
225,CLINTON,They know what kind of a colleague I am.,0,20160209_msnbc_dem.tsv
226,CLINTON,They want me as their partner in the White House.,0,20160209_msnbc_dem.tsv
227,CLINTON,And that's exactly what I will do.,0,20160209_msnbc_dem.tsv
228,CLINTON,We'll get things done together.,0,20160209_msnbc_dem.tsv
229,CLINTON,"Democrats, Republicans, independents, we're going to make progress together when I'm president.",0,20160209_msnbc_dem.tsv
230,SYSTEM,(APPLAUSE),0,20160209_msnbc_dem.tsv
231,MADDOW,"So, Senator, to that point, Secretary Clinton is raising the issue of endorsements by your home state Democrats.",0,20160209_msnbc_dem.tsv
232,MADDOW,She's implying that that says something about the people who know you best.,0,20160209_msnbc_dem.tsv
233,SANDERS,"Well, I don't see it quite like that.",0,20160209_msnbc_dem.tsv
234,MADDOW,How do you see it?,0,20160209_msnbc_dem.tsv
235,SANDERS,"I am -- will absolutely admit that Secretary Clinton has the support of far more governors, mayors, members of the House.",0,20160209_msnbc_dem.tsv
236,SANDERS,She has the entire establishment or almost the entire establishment behind her.,0,20160209_msnbc_dem.tsv
237,SANDERS,That's a fact.,0,20160209_msnbc_dem.tsv
238,SANDERS,I don't deny it.,0,20160209_msnbc_dem.tsv
239,SANDERS,But I am pretty proud that we have over a million people who have contributed to our campaign averaging 27 bucks apiece.,0,20160209_msnbc_dem.tsv
240,SANDERS,"That we have had meetings where 25,000-30,000 people have come out.",0,20160209_msnbc_dem.tsv
241,SANDERS,"That our campaign is a campaign of the people, by the people, and for the people.",0,20160209_msnbc_dem.tsv
242,SANDERS,"So, Rachel, yes, Secretary Clinton does represent the establishment.",0,20160209_msnbc_dem.tsv
243,SANDERS,"I represent, I hope, ordinary Americans, and by the way, who are not all that enamored with the establishment, but I am very proud to have people like Keith Ellison and Raul Grijalva in the House, the co-chairmen of the House Progressive Caucus.",0,20160209_msnbc_dem.tsv
244,MADDOW,Secretary.,0,20160209_msnbc_dem.tsv
245,CLINTON,"Well, look, I've got to just jump in here because, honestly, Senator Sanders is the only person who I think would characterize me, a woman running to be the first woman president, as exemplifying the establishment.",0,20160209_msnbc_dem.tsv
246,CLINTON,And I've got to tell you that it is...,0,20160209_msnbc_dem.tsv
247,SYSTEM,(APPLAUSE),0,20160209_msnbc_dem.tsv
248,CLINTON,It is really quite amusing to me.,0,20160209_msnbc_dem.tsv
249,CLINTON,People support me because they know me.,0,20160209_msnbc_dem.tsv
250,CLINTON,They know my life's work.,0,20160209_msnbc_dem.tsv
251,CLINTON,They have worked with me and many have also worked with Senator Sanders.,0,20160209_msnbc_dem.tsv
252,CLINTON,And at the end of the day they endorse me because they know I can get things done.,0,20160209_msnbc_dem.tsv
253,SYSTEM,(APPLAUSE),0,20160209_msnbc_dem.tsv
254,CLINTON,I am not going to make promises I can't keep.,0,20160209_msnbc_dem.tsv
255,CLINTON,I am not going to talk about big ideas like single-payer and then not level with people about how much it will cost.,0,20160209_msnbc_dem.tsv
256,CLINTON,A respected health economist said that these plans would cost a trillion dollars more a year.,0,20160209_msnbc_dem.tsv
257,CLINTON,"I'm not going to tell people that I will raise your incomes and not your taxes, and not mean it, because I don't want to see the kind of struggle that the middle class is going through exemplified by these promises that would raise taxes and make it much more difficult for many, many Americans to get ahead and stay ahead.",0,20160209_msnbc_dem.tsv
258,CLINTON,That is not my agenda.,0,20160209_msnbc_dem.tsv
259,SYSTEM,(APPLAUSE),0,20160209_msnbc_dem.tsv
260,MADDOW,"Senator Sanders, you'll have 30 seconds to respond to that.",0,20160209_msnbc_dem.tsv
261,SANDERS,"What being part of the establishment is, is, in the last quarter, having a super PAC that raised $15 million from Wall Street, that throughout one's life raised a whole lot of money from the drug companies and other special interests.",0,20160209_msnbc_dem.tsv
262,SANDERS,"To my mind, if we do not get a handle on money in politics and the degree to which big money controls the political process in this country, nobody is going to bring about the changes that is needed in this country for the middle class and working families.",0,20160209_msnbc_dem.tsv
263,CLINTON,"Yeah, but I -- I think it's fair to really ask what's behind that comment.",0,20160209_msnbc_dem.tsv
